"filename", "language", "JavaScript JSX", "JavaScript", "CSS", "Markdown", "CSV", "Prisma", "MS SQL", "JSON", "JSON with Comments", "YAML", "comment", "blank", "total"
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\README.md", "Markdown", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\components.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 21
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 1, 3, 19
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\eslint.config.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 39
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 11
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\next.config.mjs", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 7
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 9843, 0, 0, 0, 1, 9844
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 1, 71
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\prisma\migrations\20250129114806_fullapp_schema\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 19, 27, 130
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\prisma\migrations\20250130075943_init\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 21, 16, 78
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\prisma\prisma.jsx", "JavaScript JSX", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\prisma\schema.prisma", "Prisma", 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 19, 123
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\public\graph_data.csv", "CSV", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 1, 52
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\public\graph_data_with_colors.csv", "CSV", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\public\group_values_updated.csv", "CSV", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\public\radar_graph_test_data.csv", "CSV", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\public\test_graph_data.csv", "CSV", 0, 0, 0, 0, 501, 0, 0, 0, 0, 0, 0, 1, 502
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\app\api\auth\[...nextauth]\route.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\app\api\checkOnboardingStatus\route.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\app\api\fileUploader\route.js", "JavaScript", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 63
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\app\dashboard\dashboardFileDisplayer.jsx", "JavaScript JSX", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 26
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\app\dashboard\page.jsx", "JavaScript JSX", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 56
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\app\layout.jsx", "JavaScript JSX", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 35
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\app\login\page.jsx", "JavaScript JSX", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 48
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\app\onboarding\onboardingForm.jsx", "JavaScript JSX", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 61
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\app\onboarding\page.jsx", "JavaScript JSX", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 42
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\app\page.jsx", "JavaScript JSX", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 51
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\app\pricing\page.jsx", "JavaScript JSX", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\app\project\[projectId]\page.jsx", "JavaScript JSX", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\app\server\actions.jsx", "JavaScript JSX", 161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 196
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\app\templates\page.jsx", "JavaScript JSX", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\app\tutorial\page.jsx", "JavaScript JSX", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\app\uploadForm\page.jsx", "JavaScript JSX", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 60
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\auth.config.jsx", "JavaScript JSX", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 28
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\auth.jsx", "JavaScript JSX", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\authButtons\loginButton.jsx", "JavaScript JSX", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 27
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\authButtons\logoutButton.jsx", "JavaScript JSX", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\createGraphElements\createCartesianGraphElements\addAreaElement.jsx", "JavaScript JSX", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 92
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\createGraphElements\createCartesianGraphElements\addBarElement.jsx", "JavaScript JSX", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 69
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\createGraphElements\createCartesianGraphElements\addCartesianGrid.jsx", "JavaScript JSX", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 59
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\createGraphElements\createCartesianGraphElements\addLegend.jsx", "JavaScript JSX", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 56
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\createGraphElements\createCartesianGraphElements\addLineElement.jsx", "JavaScript JSX", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 100
